
Predictions were generated on 12-May-2017 at 08:48:31 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 6: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=220 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  2.200000E+002	  5.326785E+000	  5.839835E+002	  5.473158E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.476148E+000	  1.170570E+000
         0.5000	  2.200000E+002	  5.326785E+000	  5.839836E+002	  5.473159E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.558428E+000	  1.170570E+000
         1.0000	  2.200000E+002	  5.326786E+000	  5.839836E+002	  5.473159E+002	  4.496671E-001	  7.290792E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.722989E+000	  1.170570E+000
         1.5000	  2.200000E+002	  5.326785E+000	  5.839835E+002	  5.473158E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.805269E+000	  1.170570E+000
         2.0000	  2.200000E+002	  5.326785E+000	  5.839836E+002	  5.473159E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.722989E+000	  1.170570E+000
         2.5000	  2.200000E+002	  5.326785E+000	  5.839836E+002	  5.473158E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.558428E+000	  1.170570E+000
         3.0000	  2.200000E+002	  5.326785E+000	  5.839835E+002	  5.473159E+002	  4.496671E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.476148E+000	  1.170570E+000
         3.5000	  2.200000E+002	  5.326785E+000	  5.839836E+002	  5.473158E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.558427E+000	  1.170570E+000
         4.0000	  2.200000E+002	  5.326785E+000	  5.839836E+002	  5.473159E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.722988E+000	  1.170570E+000
         4.5000	  2.200000E+002	  5.326785E+000	  5.839835E+002	  5.473158E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.805269E+000	  1.170570E+000
         5.0000	  2.200000E+002	  5.326785E+000	  5.839836E+002	  5.473158E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.722990E+000	  1.170570E+000
         5.5000	  2.200000E+002	  5.326785E+000	  5.839836E+002	  5.473158E+002	  4.496672E-001	  7.290794E-001	  4.952155E+000	 -8.935000E-001	  1.170078E-002	  0.000000E+000	  8.558428E+000	  1.170570E+000
