
Predictions were generated on 12-May-2017 at 08:48:44 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 13: WndSpeed=1 m/s; ShearExp=0 ; RotSpeed=150 rpm; Pitch=1.75 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N1Cl    
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(-)       
         0.0000	  1.500000E+002	  5.984735E+000	  1.801290E+001	  1.002002E+002	  7.915592E-002	  4.403198E-001	 -7.951209E-001
         0.5000	  1.500000E+002	  5.984735E+000	  1.801290E+001	  1.002002E+002	  7.915590E-002	  4.403198E-001	 -7.951209E-001
         1.0000	  1.500000E+002	  5.984735E+000	  1.801290E+001	  1.002002E+002	  7.915590E-002	  4.403198E-001	 -7.951209E-001
         1.5000	  1.500000E+002	  5.984735E+000	  1.801289E+001	  1.002002E+002	  7.915587E-002	  4.403198E-001	 -7.951209E-001
         2.0000	  1.500000E+002	  5.984735E+000	  1.801290E+001	  1.002002E+002	  7.915591E-002	  4.403198E-001	 -7.951209E-001
         2.5000	  1.500000E+002	  5.984735E+000	  1.801290E+001	  1.002002E+002	  7.915590E-002	  4.403198E-001	 -7.951209E-001
         3.0000	  1.500000E+002	  5.984735E+000	  1.801291E+001	  1.002002E+002	  7.915593E-002	  4.403198E-001	 -7.951209E-001
         3.5000	  1.500000E+002	  5.984735E+000	  1.801291E+001	  1.002002E+002	  7.915596E-002	  4.403198E-001	 -7.951209E-001
         4.0000	  1.500000E+002	  5.984735E+000	  1.801291E+001	  1.002002E+002	  7.915594E-002	  4.403198E-001	 -7.951209E-001
         4.5000	  1.500000E+002	  5.984735E+000	  1.801291E+001	  1.002002E+002	  7.915594E-002	  4.403198E-001	 -7.951209E-001
         5.0000	  1.500000E+002	  5.984735E+000	  1.801290E+001	  1.002002E+002	  7.915590E-002	  4.403197E-001	 -7.951209E-001
         5.5000	  1.500000E+002	  5.984735E+000	  1.801290E+001	  1.002002E+002	  7.915591E-002	  4.403197E-001	 -7.951209E-001
